timestamp,us_index,US-East,US-Central,US-West
2025-10-21T15:11:53.429226+00:00,2.5468,2.8365,2.5688,2.0483
2025-10-21T15:22:11.278981+00:00,2.4281,2.8365,2.3566,2.211
2025-10-21T16:27:57.915470+00:00,2.3322,2.7619,2.3041,2.0483
2025-10-21T17:20:05.274552+00:00,2.5389,2.7619,2.6053,2.0483
2025-10-21T18:31:42.309472+00:00,2.4551,2.8365,2.3827,2.211
2025-10-21T19:20:08.256498+00:00,2.5846,2.8365,2.5928,2.211
2025-10-21T19:33:42.695170+00:00,2.3265,2.7619,2.2972,2.0483
2025-10-21T20:26:00.668728+00:00,1.9036,2.7619,1.7971,2.0483
2025-10-21T21:21:04.267610+00:00,1.91,2.7619,1.8043,2.0483
2025-10-21T22:18:27.255830+00:00,2.244,2.7619,2.1563,2.211
2025-10-21T23:21:54.778285+00:00,2.5958,2.7619,2.678,2.0483
2025-10-22T01:41:06.033383+00:00,2.5929,2.7619,2.6747,2.0483
2025-10-22T03:12:55.496815+00:00,2.5556,2.7619,2.5862,2.211
2025-10-22T04:25:54.222536+00:00,2.5764,2.7619,2.6229,2.2761
